obs,air_temperature,air_temperature_qc_executed,air_temperature_qc_results,barometric_pressure,barometric_pressure_qc_executed,barometric_pressure_qc_results,ct_depth,dcl_controller_timestamp,deployment,driver_timestamp,eastward_wind_velocity,eastward_wind_velocity_qc_executed,eastward_wind_velocity_qc_results,ingestion_timestamp,internal_timestamp,lat,lon,longwave_irradiance,longwave_irradiance_qc_executed,longwave_irradiance_qc_results,met_barpres,met_barpres_qc_executed,met_barpres_qc_results,met_current_direction,met_current_direction_qc_executed,met_current_direction_qc_results,met_current_speed,met_current_speed_qc_executed,met_current_speed_qc_results,met_heatflx_minute,met_latnflx_minute,met_netlirr_minute,met_netsirr,met_netsirr_qc_executed,met_netsirr_qc_results,met_relwind_direction,met_relwind_direction_qc_executed,met_relwind_direction_qc_results,met_relwind_speed,met_relwind_speed_qc_executed,met_relwind_speed_qc_results,met_salsurf,met_salsurf_qc_executed,met_salsurf_qc_results,met_sensflx_minute,met_spechum,met_spechum_qc_executed,met_spechum_qc_results,met_windavg_mag_corr_east,met_windavg_mag_corr_north,northward_wind_velocity,northward_wind_velocity_qc_executed,northward_wind_velocity_qc_results,port_timestamp,precipitation,precipitation_qc_executed,precipitation_qc_results,preferred_timestamp,relative_humidity,relative_humidity_qc_executed,relative_humidity_qc_results,sea_surface_conductivity,sea_surface_conductivity_qc_executed,sea_surface_conductivity_qc_results,sea_surface_temperature,sea_surface_temperature_qc_executed,sea_surface_temperature_qc_results,shortwave_irradiance,shortwave_irradiance_qc_executed,shortwave_irradiance_qc_results,time,velpt_ab_dcl_instrument-eastward_velocity,velpt_ab_dcl_instrument-northward_velocity
"('0',)",12.9600000381,29,29,1023.70001221,29,29,0.98,empty,7,3736458696.39,2.06999993324,29,29,3736458696.56,0.0,44.63567,-124.30418,302.299987793,29,29,102370.0,29,29,210.568795758,29,29,0.489622802152,29,29,,,,595.06652832,29,28,173.059133169,29,29,5.84764016305,29,29,32.0409672246,29,29,,7.64942502975,29,29,0.45764878397,-6.2263597504,-5.88999986649,29,29,3736454453.33,20.7900009155,29,13,port_timestamp,83.5699996948,29,29,3.68050003052,29,13,11.8360004425,29,29,629.700012207,29,29,3736454453.33,-0.249008724738,-0.421574600031
"('1',)",12.9449996948,29,29,1023.55999756,29,29,0.98,empty,7,3736458696.39,2.54999995232,29,29,3736458696.56,0.0,44.63567,-124.30418,302.100006104,29,29,102356.0,29,29,211.041494699,29,29,0.48741798999,29,29,,,,560.951965332,29,28,167.779856165,29,29,5.83482995683,29,29,32.0501268338,29,29,,7.65350151062,29,29,0.983707900361,-6.12023852486,-5.65000009537,29,29,3736454487.72,20.8400001526,29,13,port_timestamp,83.6849975586,29,29,3.68020009995,29,13,11.8219995499,29,29,593.599975586,29,29,3736454487.72,-0.251341335229,-0.417616846129
"('2',)",12.9600000381,29,29,1023.70001221,29,29,0.98,empty,7,3736458696.39,2.84999990463,29,29,3736458696.56,0.0,44.63567,-124.30418,305.5,29,29,102370.0,29,29,211.935780876,29,29,0.483389987607,29,29,,,,550.084472656,29,28,163.809565739,29,29,5.74610052145,29,29,32.044948159,29,29,,7.67682933807,29,29,1.34649164381,-5.92843642797,-5.36999988556,29,29,3736454551.96,20.8400001526,29,13,port_timestamp,83.8679962158,29,29,3.68099999428,29,13,11.8369998932,29,29,582.099975586,29,29,3736454551.96,-0.255698032891,-0.41022481165
"('3',)",12.9530000687,29,29,1023.55999756,29,29,0.98,empty,7,3736458696.39,3.23000001907,29,29,3736458696.56,0.0,44.63567,-124.30418,304.200012207,29,29,102356.0,29,29,212.846154346,29,29,0.479476318658,29,29,,,,571.063476562,29,28,160.1164778,29,29,5.87893633306,29,29,32.0448465778,29,29,,7.66442155838,29,29,1.73941901016,-5.93129171676,-5.26999998093,29,29,3736454616.28,20.8600006104,29,13,port_timestamp,83.7600021362,29,29,3.68009996414,29,13,11.8269996643,29,29,604.299987793,29,29,3736454616.28,-0.260060834502,-0.402822420567
"('4',)",12.9759998322,29,29,1023.63000488,29,29,0.98,empty,7,3736458696.39,3.11999988556,29,29,3736458696.57,0.0,44.63567,-124.30418,302.0,29,29,102363.0,29,29,213.771723069,29,29,0.475683875897,29,29,,,,580.891479492,29,28,160.6524175,29,29,5.77535326859,29,29,32.047002817,29,29,,7.67484331131,29,29,1.64893770042,-5.84461325868,-5.21000003815,29,29,3736454680.64,20.8199996948,29,13,port_timestamp,83.7529983521,29,29,3.67969989777,29,13,11.8199996948,29,29,614.700012207,29,29,3736454680.64,-0.264425738611,-0.395416462162
"('5',)",12.968000412,29,29,1023.48999023,29,29,0.98,empty,7,3736458696.39,2.75999999046,29,29,3736458696.57,0.0,44.63567,-124.30418,302.200012207,29,29,102349.0,29,29,214.710490865,29,29,0.472022972202,29,29,,,,569.078979492,29,28,166.797783828,29,29,6.14252088993,29,29,32.0433622925,29,29,,7.65998935699,29,29,1.13409723714,-6.36819615655,-5.84999990463,29,29,3736454744.9,20.8500003815,29,13,port_timestamp,83.6240005493,29,29,3.67709994316,29,13,11.7950000763,29,29,602.200012207,29,29,3736454744.9,-0.268784063986,-0.388021665933
"('6',)",12.9600000381,29,29,1023.55999756,29,29,0.98,empty,7,3736458696.39,1.83000004292,29,29,3736458696.57,0.0,44.63567,-124.30418,302.5,29,29,102356.0,29,29,215.665780821,29,29,0.468483139017,29,29,,,,563.976013184,29,28,174.61648856,29,29,5.68257606874,29,29,32.0469230676,29,29,,7.66849899292,29,29,0.259997602586,-6.0381209031,-5.76000022888,29,29,3736454809.3,20.8600006104,29,13,port_timestamp,83.7659988403,29,29,3.67639994621,29,13,11.7829999924,29,29,596.799987793,29,29,3736454809.3,-0.273151952284,-0.380610644237
"('7',)",12.9449996948,29,29,1023.70001221,29,29,0.98,empty,7,3736458696.39,2.81999993324,29,29,3736458696.57,0.0,44.63567,-124.30418,303.299987793,29,29,102370.0,29,29,216.646641051,29,29,0.465036864933,29,29,,,,568.134033203,29,28,164.263900319,29,29,5.82365341964,29,29,32.0485514536,29,29,,7.67174577713,29,29,1.30184487946,-5.9785029622,-5.42999982834,29,29,3736454874.45,20.8199996948,29,13,port_timestamp,83.8949966431,29,29,3.67470002174,29,13,11.7620000839,29,29,601.200012207,29,29,3736454874.45,-0.27757036818,-0.373113892069
"('8',)",12.9449996948,29,29,1023.41998291,29,29,0.98,empty,7,3736458696.39,1.80999994278,29,29,3736458696.57,0.0,44.63567,-124.30418,303.299987793,29,29,102342.0,29,29,217.152896819,29,29,0.463330752862,29,29,,,,532.601989746,29,28,173.64024617,29,29,5.40732029796,29,29,32.0486586943,29,29,,7.69691419601,29,29,0.319147623437,-5.74333048012,-5.46000003815,29,29,3736454907.71,20.8899993896,29,13,port_timestamp,84.1460037231,29,29,3.67479991913,29,13,11.7629995346,29,29,563.599975586,29,29,3736454907.71,-0.279825864771,-0.369286977772
"('9',)",12.9449996948,29,29,1023.48999023,29,29,0.98,empty,7,3736458696.39,2.78999996185,29,29,3736458696.57,0.0,44.63567,-124.30418,303.299987793,29,29,102349.0,29,29,218.151105869,29,29,0.460107749044,29,29,,,,551.785522461,29,28,161.949724514,29,29,5.42203794945,29,29,32.0403606151,29,29,,7.70447397232,29,29,1.39580022456,-5.51701385703,-4.96000003815,29,29,3736454972.58,20.8400001526,29,13,port_timestamp,84.2340011597,29,29,3.67269992828,29,13,11.7489995956,29,29,583.900024414,29,29,3736454972.58,-0.284225832995,-0.361821525878
"('10',)",12.9230003357,29,29,1023.55999756,29,29,0.98,empty,7,3736458696.39,2.20000004768,29,29,3736458696.57,0.0,44.63567,-124.30418,303.299987793,29,29,102356.0,29,29,219.152910991,29,29,0.457056414083,29,29,,,,550.74597168,29,28,167.345606351,29,29,5.11318958861,29,29,32.0460746693,29,29,,7.71079874039,29,29,0.831562687832,-5.34341690975,-4.94000005722,29,29,3736455036.81,20.8600006104,29,13,port_timestamp,84.4300003052,29,29,3.67319989204,29,13,11.748000145,29,29,582.799987793,29,29,3736455036.81,-0.28858185242,-0.354430642169
"('11',)",12.9449996948,29,29,1023.55999756,29,29,0.98,empty,7,3736458696.39,2.77999997139,29,29,3736458696.57,0.0,44.63567,-124.30418,303.100006104,29,29,102356.0,29,29,220.170395697,29,29,0.454139636743,29,29,,,,539.594970703,29,28,162.228166644,29,29,5.46686650539,29,29,32.0450056182,29,29,,7.7206697464,29,29,1.37568770385,-5.55300667949,-5.0,29,29,3736455101.19,20.8799991608,29,13,port_timestamp,84.4160003662,29,29,3.66980004311,29,13,11.7110004425,29,29,571.0,29,29,3736455101.19,-0.292948655543,-0.347021461695
"('12',)",12.9600000381,29,29,1023.41998291,29,29,0.98,empty,7,3736458696.39,3.1400001049,29,29,3736458696.57,0.0,44.63567,-124.30418,303.5,29,29,102342.0,29,29,221.200737173,29,29,0.451367818772,29,29,,,,560.479492188,29,28,159.040217895,29,29,5.66294257723,29,29,32.0418745137,29,29,,7.69392633438,29,29,1.72839002878,-5.62784761318,-4.98000001907,29,29,3736455165.58,20.8700008392,29,13,port_timestamp,84.03099823,29,29,3.67090010643,29,13,11.7270002365,29,29,593.099975586,29,29,3736455165.58,-0.297315594366,-0.339612050978
"('13',)",12.9600000381,29,29,1023.48999023,29,29,0.98,empty,7,3736458696.39,2.49000000954,29,29,3736458696.57,0.0,44.63567,-124.30418,303.299987793,29,29,102349.0,29,29,222.241009778,29,29,0.448749719972,29,29,,,,556.226989746,29,28,168.3886274,29,29,5.98160706355,29,29,32.0409049434,29,29,,7.67343997955,29,29,0.902259832908,-6.19141539665,-5.73999977112,29,29,3736455229.82,20.8199996948,29,13,port_timestamp,83.8140029907,29,29,3.67000007629,29,13,11.718000412,29,29,588.599975586,29,29,3736455229.82,-0.301672291964,-0.332220016609
"('14',)",12.9600000381,29,29,1023.48999023,29,29,0.98,empty,7,3736458696.39,2.36999988556,29,29,3736458696.57,0.0,44.63567,-124.30418,303.0,29,29,102349.0,29,29,223.295923616,29,29,0.446274962482,29,29,,,,520.222473145,29,28,170.713939288,29,29,6.23545717285,29,29,32.0474873162,29,29,,7.68650102615,29,29,0.700136161671,-6.47855006129,-6.07000017166,29,29,3736455294.23,20.8899993896,29,13,port_timestamp,83.9560012817,29,29,3.67050004005,29,13,11.7159996033,29,29,550.5,29,29,3736455294.23,-0.306040451564,-0.324808534594
"('15',)",12.9379997253,29,29,1023.55999756,29,29,0.98,empty,7,3736458696.39,2.74000000954,29,29,3736458696.57,0.0,44.63567,-124.30418,303.899993896,29,29,102356.0,29,29,223.160714196,29,29,0.447265373502,29,29,,,,526.175964355,29,28,164.341786858,29,29,5.75815368513,29,29,32.0516826368,29,29,,7.69167804718,29,29,1.24816510295,-5.87071422892,-5.34000015259,29,29,3736455327.71,20.8700008392,29,13,port_timestamp,84.138999939,29,29,3.67359995842,29,13,11.7460002899,29,29,556.799987793,29,29,3736455327.71,-0.305950588647,-0.326252282199
"('16',)",12.968000412,29,29,1023.55999756,29,29,0.98,empty,7,3736458696.39,2.63000011444,29,29,3736458696.57,0.0,44.63567,-124.30418,305.0,29,29,102356.0,29,29,222.629285111,29,29,0.450097910502,29,29,,,,534.019470215,29,28,165.389214172,29,29,5.71490194881,29,29,32.0539518072,29,29,,7.66885137558,29,29,1.13676295963,-5.86125174403,-5.36000013351,29,29,3736455392.22,20.8299999237,29,13,port_timestamp,83.7259979248,29,29,3.6724998951,29,13,11.7309999466,29,29,565.099975586,29,29,3736455392.22,-0.304829762465,-0.331159999024
"('17',)",12.9449996948,29,29,1023.70001221,29,29,0.98,empty,7,3736458696.39,2.07999992371,29,29,3736458696.57,0.0,44.63567,-124.30418,302.100006104,29,29,102370.0,29,29,222.106729861,29,29,0.452956588258,29,29,,,,532.979980469,29,28,171.049234022,29,29,5.59427700371,29,29,32.0563277035,29,29,,7.67487001419,29,29,0.566675825458,-5.86219930689,-5.51000022888,29,29,3736455456.45,20.8600006104,29,13,port_timestamp,83.9290008545,29,29,3.67230010033,29,13,11.7259998322,29,29,564.0,29,29,3736455456.45,-0.303713627605,-0.336047174149
"('18',)",12.9600000381,29,29,1023.55999756,29,29,0.98,empty,7,3736458696.39,3.17000007629,29,29,3736458696.57,0.0,44.63567,-124.30418,303.600006104,29,29,102356.0,29,29,221.589813682,29,29,0.455857912712,29,29,,,,527.688049316,29,28,161.430229957,29,29,6.0742940735,29,29,32.0514729995,29,29,,7.66169309616,29,29,1.63181948837,-6.09898893733,-5.46000003815,29,29,3736455520.81,20.9200000763,29,13,port_timestamp,83.6920013428,29,29,3.67179989815,29,13,11.7259998322,29,29,558.400024414,29,29,3736455520.81,-0.302595407715,-0.340943478911
"('19',)",12.998000145,29,29,1023.55999756,29,29,0.98,empty,7,3736458696.39,2.70000004768,29,29,3736458696.57,0.0,44.63567,-124.30418,304.0,29,29,102356.0,29,29,221.071527673,29,29,0.458842220194,29,29,,,,512.37902832,29,28,165.470338784,29,29,5.85605804821,29,29,32.0651605395,29,29,,7.65263319016,29,29,1.16771502011,-6.01468551874,-5.5,29,29,3736455586.18,20.8799991608,29,13,port_timestamp,83.3860015869,29,29,3.67490005493,29,13,11.7449998856,29,29,542.200012207,29,29,3736455586.18,-0.301459656177,-0.345916548795
"('20',)",12.9759998322,29,29,1023.48999023,29,29,0.98,empty,7,3736458696.39,2.71000003815,29,29,3736458696.57,0.0,44.63567,-124.30418,303.399993896,29,29,102349.0,29,29,220.562772364,29,29,0.461846892432,29,29,,,,497.82598877,29,29,165.909793349,29,29,5.95167467247,29,29,32.0667725461,29,29,,7.65775537491,29,29,1.14860048401,-6.12347275922,-5.61000013351,29,29,3736455651.18,20.8400001526,29,13,port_timestamp,83.5559997559,29,29,3.67560005188,29,13,11.7510004044,29,29,526.799987793,29,29,3736455651.18,-0.300330142363,-0.350862305809
"('21',)",12.9829998016,29,29,1023.41998291,29,29,0.98,empty,7,3736458696.39,2.48000001907,29,29,3736458696.57,0.0,44.63567,-124.30418,302.700012207,29,29,102342.0,29,29,220.066388722,29,29,0.464852223978,29,29,,,,517.387512207,29,28,167.788443489,29,29,5.81995635374,29,29,32.0741619634,29,29,,7.633061409,29,29,0.931834776165,-6.04402066099,-5.59000015259,29,29,3736455715.44,20.8400001526,29,13,port_timestamp,83.2440032959,29,29,3.68009996414,29,13,11.7930002213,29,29,547.5,29,29,3736455715.44,-0.299213659998,-0.35575100254
"('22',)",12.998000145,29,29,1023.35998535,29,29,0.98,empty,7,3736458696.39,2.65000009537,29,29,3736458696.57,0.0,44.63567,-124.30418,303.100006104,29,29,102336.0,29,29,219.819625369,29,29,0.466373925879,29,29,,,,517.293029785,29,28,167.667455964,29,29,6.1620248475,29,29,32.0693785979,29,29,,7.62342357635,29,29,1.01746482789,-6.37803764936,-5.88999986649,29,29,3736455747.7,20.8400001526,29,13,port_timestamp,83.0530014038,29,29,3.6740000248,29,13,11.7299995422,29,29,547.400024414,29,29,3736455747.7,-0.298653186094,-0.358205127233
"('23',)",12.9829998016,29,29,1023.41998291,29,29,0.98,empty,7,3736458696.39,2.16000008583,29,29,3736458696.57,0.0,44.63567,-124.30418,302.700012207,29,29,102342.0,29,29,219.331605401,29,29,0.469438675608,29,29,,,,496.313995361,29,29,173.193223627,29,29,6.28823648451,29,29,32.0687430642,29,29,,7.63619279861,29,29,0.447756807062,-6.6070202874,-6.26000022888,29,29,3736455812.12,20.8199996948,29,13,port_timestamp,83.2779998779,29,29,3.67179989815,29,13,11.7060003281,29,29,525.200012207,29,29,3736455812.12,-0.297533819428,-0.363106453334
"('24',)",12.9829998016,29,29,1023.35998535,29,29,0.98,empty,7,3736458696.39,2.97000002861,29,29,3736458696.57,0.0,44.63567,-124.30418,302.799987793,29,29,102336.0,29,29,218.850945918,29,29,0.47253056025,29,29,,,,491.305511475,29,29,160.246419718,29,29,5.52097082041,29,29,32.0726160542,29,29,,7.65285682678,29,29,1.56953625406,-5.56408631273,-4.96000003815,29,29,3736455876.41,20.9200000763,29,13,port_timestamp,83.4540023804,29,29,3.67379999161,29,13,11.7239999771,29,29,519.900024414,29,29,3736455876.41,-0.296416781061,-0.367997584606
"('25',)",12.9829998016,29,29,1023.48999023,29,29,0.98,empty,7,3736458696.39,3.0,29,29,3736458696.57,0.0,44.63567,-124.30418,303.299987793,29,29,102349.0,29,29,218.373292089,29,29,0.475677105835,29,29,,,,495.369018555,29,29,161.643772728,29,29,5.7726471721,29,29,32.0749866699,29,29,,7.64939546585,29,29,1.52265330231,-5.85183961853,-5.25,29,29,3736455941.15,20.8500003815,29,13,port_timestamp,83.4270019531,29,29,3.67440009117,29,13,11.7279996872,29,29,524.200012207,29,29,3736455941.15,-0.295291975942,-0.372922723845
"('26',)",12.998000145,29,29,1023.41998291,29,29,0.98,empty,7,3736458696.39,3.52999997139,29,29,3736458696.57,0.0,44.63567,-124.30418,302.5,29,29,102342.0,29,29,217.904327838,29,29,0.478840036419,29,29,,,,493.479003906,29,29,159.815187148,29,29,6.42206919303,29,29,32.0747735676,29,29,,7.62869215012,29,29,1.92175839204,-6.40547754118,-5.67999982834,29,29,3736456005.55,20.8299999237,29,13,port_timestamp,83.1149978638,29,29,3.67420005798,29,13,11.7259998322,29,29,522.200012207,29,29,3736456005.55,-0.294172887285,-0.37782283264
"('27',)",12.968000412,29,29,1023.48999023,29,29,0.98,empty,7,3736458696.39,2.50999999046,29,29,3736458696.57,0.0,44.63567,-124.30418,304.0,29,29,102349.0,29,29,217.44114916,29,29,0.482037415239,29,29,,,,499.526977539,29,29,169.172009799,29,29,6.14532835685,29,29,32.0780199929,29,29,,7.65686035156,29,29,0.861415690094,-6.41864163635,-5.96999979019,29,29,3736456070.02,20.8299999237,29,13,port_timestamp,83.5899963379,29,29,3.67319989204,29,13,11.7110004425,29,29,528.599975586,29,29,3736456070.02,-0.293052825618,-0.382727201917
